VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD09,43.0,CD09-C008-C007-C005-C003-CD09,4,10.0-12.0-5.0-15.0,21.76157674820911,52.22778419570186,8867.842524895212
V003,CD12,18.0,CD12-C001-C004-CD12,2,12.0-6.0,20.99719599417299,50.393270386015175,11408.476490167326
V004,CD05,26.0,CD05-C002-C006-CD05,2,15.0-11.0,15.634580984979616,37.52299436395108,10193.74680220671
V005,CD11,15.0,CD11-C009-CD11,1,15.0,6.877336536177668,16.505607686826405,3736.6861846565334
